范围,项目,命名空间,类型,成员,可维护性指数,圈复杂度,继承深度,类耦合度,源代码行,可执行代码行
成员,PersonalTools (Release),PersonalTools,Utils,"ReverseBits(uint, int) : uint",69,2,,0,17,6
成员,PersonalTools (Release),PersonalTools,Utils,"ToHexString(byte[], int, int) : string",92,1,,1,4,1
成员,PersonalTools (Release),PersonalTools,Utils,ToHexString(byte[]) : string,96,1,,1,4,1
成员,PersonalTools (Release),PersonalTools,Utils,"EnumerableToString(string?, IEnumerable<string>) : string",90,2,,2,4,1
成员,PersonalTools (Release),PersonalTools,Utils,FormatAddress(ulong) : string,96,1,,0,4,1
成员,PersonalTools (Release),PersonalTools,Utils,"ExtractStringFromBytes(byte[], int) : string",66,7,,1,14,6
成员,PersonalTools (Release),PersonalTools,Utils,"ExtractStringFromBytes(byte[], int, int) : string",64,7,,1,13,6
成员,PersonalTools (Release),PersonalTools,Utils,"ReadBytesWithEndianness(BinaryReader, int, bool) : byte[]",75,2,,3,9,4
成员,PersonalTools (Release),PersonalTools,Utils,"ReadInt64(BinaryReader, bool) : long",90,1,,2,4,1
成员,PersonalTools (Release),PersonalTools,Utils,"ReadInt32(BinaryReader, bool) : int",90,1,,2,4,1
成员,PersonalTools (Release),PersonalTools,Utils,"ReadUInt16(BinaryReader, bool) : ushort",90,1,,2,4,1
成员,PersonalTools (Release),PersonalTools,Utils,"ReadUInt32(BinaryReader, bool) : uint",90,1,,2,4,1
成员,PersonalTools (Release),PersonalTools,Utils,"ReadUInt64(BinaryReader, bool) : ulong",90,1,,2,4,1
成员,PersonalTools (Release),PersonalTools,Utils,"GetTypeName(Type, object, string) : string",72,3,,5,15,5
命名空间,PersonalTools (Release),PersonalTools.ConstString, , ,72,16,1,5,26216,41
类型,PersonalTools (Release),PersonalTools.ConstString,HttpStatus, ,73,2,1,3,217,5
成员,PersonalTools (Release),PersonalTools.ConstString,HttpStatus,"HttpStatusMapEnglish : Dictionary<long, string>",73,0,,1,66,1
成员,PersonalTools (Release),PersonalTools.ConstString,HttpStatus,"HttpStatusMapSimplifiedChinese : Dictionary<long, string>",73,0,,1,66,1
成员,PersonalTools (Release),PersonalTools.ConstString,HttpStatus,"HttpStatusMapTraditionalChinese : Dictionary<long, string>",73,0,,1,66,1
成员,PersonalTools (Release),PersonalTools.ConstString,HttpStatus,"HttpStatusMap : Dictionary<long, string>",90,2,,3,7,2
成员,PersonalTools (Release),PersonalTools.ConstString,HttpStatus,"HttpStatusMap.get() : Dictionary<long, string>",90,1,,3,5,1
类型,PersonalTools (Release),PersonalTools.ConstString,LinuxErrno, ,70,2,1,3,484,5
成员,PersonalTools (Release),PersonalTools.ConstString,LinuxErrno,"LinuxErrnoMapTraditionalChinese : Dictionary<long, string>",70,0,,1,153,1
成员,PersonalTools (Release),PersonalTools.ConstString,LinuxErrno,"LinuxErrnoMapSimplifiedChinese : Dictionary<long, string>",70,0,,1,153,1
成员,PersonalTools (Release),PersonalTools.ConstString,LinuxErrno,"LinuxErrnoMapEnglish : Dictionary<long, string>",70,0,,1,153,1
成员,PersonalTools (Release),PersonalTools.ConstString,LinuxErrno,"LinuxErrnoMap : Dictionary<long, string>",90,2,,3,7,2
成员,PersonalTools (Release),PersonalTools.ConstString,LinuxErrno,"LinuxErrnoMap.get() : Dictionary<long, string>",90,1,,3,5,1
类型,PersonalTools (Release),PersonalTools.ConstString,MacErrno, ,89,0,1,3,5,1
成员,PersonalTools (Release),PersonalTools.ConstString,MacErrno,"MacErrnoMap : Dictionary<long, string>",89,0,,3,1,1
类型,PersonalTools (Release),PersonalTools.ConstString,MySqlErrors, ,63,2,1,3,3262,5
成员,PersonalTools (Release),PersonalTools.ConstString,MySqlErrors,"MySqlErrorsMap : Dictionary<long, string>",90,2,,3,7,2
成员,PersonalTools (Release),PersonalTools.ConstString,MySqlErrors,"MySqlErrorsMap.get() : Dictionary<long, string>",90,1,,3,5,1
成员,PersonalTools (Release),PersonalTools.ConstString,MySqlErrors,"MySqlErrorsMapSimplifiedChinese : Dictionary<long, string>",63,0,,1,1079,1
成员,PersonalTools (Release),PersonalTools.ConstString,MySqlErrors,"MySqlErrorsMapTraditionalChinese : Dictionary<long, string>",63,0,,1,1079,1
成员,PersonalTools (Release),PersonalTools.ConstString,MySqlErrors,"MySqlErrorsMapEnglish : Dictionary<long, string>",63,0,,1,1079,1
类型,PersonalTools (Release),PersonalTools.ConstString,OdbcErrors, ,72,2,1,3,310,5
成员,PersonalTools (Release),PersonalTools.ConstString,OdbcErrors,"OdbcErrorsMapEnglish : Dictionary<string, string>",71,0,,1,97,1
成员,PersonalTools (Release),PersonalTools.ConstString,OdbcErrors,"OdbcErrorsMapSimplifiedChinese : Dictionary<string, string>",71,0,,1,97,1
成员,PersonalTools (Release),PersonalTools.ConstString,OdbcErrors,"OdbcErrorsMapTraditionalChinese : Dictionary<string, string>",71,0,,1,97,1
成员,PersonalTools (Release),PersonalTools.ConstString,OdbcErrors,"OdbcErrorsMap : Dictionary<string, string>",90,2,,3,7,2
成员,PersonalTools (Release),PersonalTools.ConstString,OdbcErrors,"OdbcErrorsMap.get() : Dictionary<string, string>",90,1,,3,5,1
类型,PersonalTools (Release),PersonalTools.ConstString,OracleSqlCode, ,76,2,1,3,112,5
成员,PersonalTools (Release),PersonalTools.ConstString,OracleSqlCode,"OracleSqlCodeMapEnglish : Dictionary<long, string>",76,0,,1,31,1
成员,PersonalTools (Release),PersonalTools.ConstString,OracleSqlCode,"OracleSqlCodeMapSimplifiedChinese : Dictionary<long, string>",76,0,,1,31,1
成员,PersonalTools (Release),PersonalTools.ConstString,OracleSqlCode,"OracleSqlCodeMapTraditionalChinese : Dictionary<long, string>",76,0,,1,31,1
成员,PersonalTools (Release),PersonalTools.ConstString,OracleSqlCode,"OracleSqlCodeMap : Dictionary<long, string>",90,2,,3,7,2
成员,PersonalTools (Release),PersonalTools.ConstString,OracleSqlCode,"OracleSqlCodeMap.get() : Dictionary<long, string>",90,1,,3,5,1
类型,PersonalTools (Release),PersonalTools.ConstString,SqlServerErrors, ,73,2,1,3,204,5
成员,PersonalTools (Release),PersonalTools.ConstString,SqlServerErrors,"SqlServerErrorsMapEnglish : Dictionary<long, string>",73,0,,1,62,1
成员,PersonalTools (Release),PersonalTools.ConstString,SqlServerErrors,"SqlServerErrorsMapSimplifiedChinese : Dictionary<long, string>",73,0,,1,62,1
成员,PersonalTools (Release),PersonalTools.ConstString,SqlServerErrors,"SqlServerErrorsMapTraditionalChinese : Dictionary<long, string>",73,0,,1,62,1
成员,PersonalTools (Release),PersonalTools.ConstString,SqlServerErrors,"SqlServerErrorsMap : Dictionary<long, string>",90,2,,3,6,2
成员,PersonalTools (Release),PersonalTools.ConstString,SqlServerErrors,"SqlServerErrorsMap.get() : Dictionary<long, string>",90,1,,3,5,1
类型,PersonalTools (Release),PersonalTools.ConstString,WindowsStandardErrno, ,75,2,1,3,142,5
成员,PersonalTools (Release),PersonalTools.ConstString,WindowsStandardErrno,"WindowsStandardErrnoMapEnglish : Dictionary<long, string>",75,0,,1,41,1
成员,PersonalTools (Release),PersonalTools.ConstString,WindowsStandardErrno,"WindowsStandardErrnoMapSimplifiedChinese : Dictionary<long, string>",75,0,,1,41,1
成员,PersonalTools (Release),PersonalTools.ConstString,WindowsStandardErrno,"WindowsStandardErrnoMapTraditionalChinese : Dictionary<long, string>",75,0,,1,41,1
